INPUT:text	INPUT:word	INPUT:pronoun	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
Боб заплатил за обучение Чарльза в университете. Он был очень щедр.	Боб	Он	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38197c475157010635d8	000271bf80--64ef36132409351a10c5f66d	000271bf80--64ef38197c475157010635d8	000271bf80--64ef38187c475157010635d2	36d93d4f906f48015a04300bb61d8ff1	APPROVED	2023-08-30T12:37:45	2023-08-30T12:38:29.678	2023-08-30T12:38:29.678	0.019
Марк полностью ушел в заботу о Блейзе, белом коне. Он боялся, что конюхи в конюшнях Берлингтона били его и издевались над ним, потому что он был робким, поэтому он взял кормление и уход за животным на себя.	Марк	Он боялся	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38197c475157010635d8	000271bf80--64ef36270308d50982a5a890	000271bf80--64ef38197c475157010635d8	000271bf80--64ef38187c475157010635d2	36d93d4f906f48015a04300bb61d8ff1	APPROVED	2023-08-30T12:37:45	2023-08-30T12:38:29.678	2023-08-30T12:38:29.678	0.019
Леди Балантайн наговорила леди Рубио много такого, о чём потом серьёзно пожалела, она корила себя за это долгие месяцы.	Леди Балантайн	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38197c475157010635d8	000271bf80--64ef36280308d50982a5a8e8	000271bf80--64ef38197c475157010635d8	000271bf80--64ef38187c475157010635d2	36d93d4f906f48015a04300bb61d8ff1	APPROVED	2023-08-30T12:37:45	2023-08-30T12:38:29.678	2023-08-30T12:38:29.678	0.019
Анна родила девочку в прошлом месяце. Она – очаровательный ребенок.	Анна	Она	false	false			https://platform.toloka.ai/task/41009024/000271bf80--64ef383daaabce428735698c	000271bf80--64ef36132409351a10c5f664	000271bf80--64ef383daaabce428735698c	000271bf80--64ef383daaabce4287356987	4124e89c1b174992ea3363d94ab6ee3e	APPROVED	2023-08-30T12:38:21.825	2023-08-30T12:39:02.532	2023-08-30T12:39:02.532	0.022
Мэт сразу прошел в бюро, невольно начав заводиться, когда врезался в манекен мистера Блайта в испанской шляпе и римском плаще, и проклиная его себе под нос за то, что оказался на его пути, как будто он был живым существом.	Мэт	на его пути	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef383daaabce428735698c	000271bf80--64ef36260308d50982a5a7fc	000271bf80--64ef383daaabce428735698c	000271bf80--64ef383daaabce4287356987	4124e89c1b174992ea3363d94ab6ee3e	APPROVED	2023-08-30T12:38:21.825	2023-08-30T12:39:02.532	2023-08-30T12:39:02.532	0.022
Леди Балантайн наговорила леди Рубио много такого, о чём потом серьёзно пожалела, она корила себя за это долгие месяцы.	Леди Балантайн	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef383daaabce428735698c	000271bf80--64ef36280308d50982a5a8e8	000271bf80--64ef383daaabce428735698c	000271bf80--64ef383daaabce4287356987	4124e89c1b174992ea3363d94ab6ee3e	APPROVED	2023-08-30T12:38:21.825	2023-08-30T12:39:02.532	2023-08-30T12:39:02.532	0.022
Я уверен, что на моем плане будет отмечен этот дом. Он очень подробный.	плане	Он	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef36132409351a10c5f668	000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef389c894bcc2572966d0b	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:39:56.270	2023-08-30T12:40:50.869	2023-08-30T12:40:50.869	0.022
Леди Балантайн наговорила леди Рубио много такого, о чём она потом серьёзно пожалела, но выбросить из головы уже не могла.	леди Рубио	она	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef36280308d50982a5a8ea	000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef389c894bcc2572966d0b	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:39:56.270	2023-08-30T12:40:50.869	2023-08-30T12:40:50.869	0.022
Последний день настал. Завтра Нелл нужно было уходить. Мама внесла домой ее новый чемодан.	Нелл	ее	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef36260308d50982a5a76f	000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef389c894bcc2572966d0b	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:39:56.270	2023-08-30T12:40:50.869	2023-08-30T12:40:50.869	0.022
Элис отчаянно пыталась не дать своей дочери лаять по-собачьи на вечеринке. Мы не могли понять, почему она так странно себя ведет.	дочери	она	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38a48cabf13b41f854c7	000271bf80--64ef36132409351a10c5f66a	000271bf80--64ef38a48cabf13b41f854c7	000271bf80--64ef38a48cabf13b41f854b8	ba3e8094f2cf4704e7471d101c8f26ee	APPROVED	2023-08-30T12:40:04.470	2023-08-30T12:41:27.997	2023-08-30T12:41:27.997	0.022
