worker_id|skill_value
0dfdccdd43f5890d1d283b076b1b8064|88
3d400a630411d4f905e95b66a4e4066c|100
3f7b5f2781bf8411244ce6963cff37cd|100
652388480fbed0cfe02b3ea0427d5397|70
e050402f9f71dffffc191715697776d2|75
8ae76d8fa0039083fc457e4bd8160d10|80
e87bcb47c10781e8cff176870eb6d5eb|70
8345bb0ab86c2495a65fa8b92bc7f2fa|100
b258a5d0076135720fffd0c0488f27bd|60
ab359b4d7d5f9bbefd2f76d8d625e623|90
0577258eda25a34d674107318cf429bc|40
4dbf16603d308538ad26be7eccccb7e5|88
5d9e747893cbf104bb6be8f2cace66f4|100
59febc352486f8cba224157814ba811a|100
cc0581defa1ba42aa1c2c618cda3c478|100
53a671e8398e3c12e0fee255c6ed96aa|75
19e110a29dcb1e00fd17dbf753f6deb4|70
4cc222dd4ade40de3c94ff0904350832|80
edeb371e85055e219faf82db90a54cd0|75
e406833b959069b906352c07c2d4be3e|100
b93128bc5043b8d53d83db6e3d14f66c|86
7aa58e1eef1ba62975aec009a101f60d|70
5c42e9c2c7f034c08af7cc507216e920|75
0122762c31dc65fe6af12d24d2a4aadb|86
1a0b366016f2eaed32a54822f569f7f1|80
c904526fdab44ca5d8014f4b72f74379|70
f0456c31dc95e470f48f14f4e4d7f6dd|100
b8c1faa7220d92c57fe8aecd4abf9fa0|75
efd2047ce69435de29450890a749de0f|86
5e3ea8ee8aff7b4798500e6b910d6fa9|100
88eb85d1ad28284124adb18169830e2f|70
33a3abadce180e481cb5a97e4e4edc18|60
15c83654a627e38f4536cb36af48a75d|70
9da03a138d6f61579e3a5a4b38f85805|70
f2ecbc861aaffeaacd46510b24fa5644|78
e54aeea69a79f30e8e0e8ce4ef87c384|70
a2f6332f93b70d2c20c20e5928d3da95|70
f259e785bb92e6eb518d72c84957625e|80
a3d8b65fc38370b3f619cb7fd893d4b1|75
65b99b8999db674a5e9d97cf87e13d69|70
29bd82ea8b4fc807d431431e10dd1cdb|60
6d6f1448e515dc833ef884c0c939472e|78
fc4e5a8a9c869a7cb40aebb49660d838|70
df5bc997e9b75e533c0c0fd811a1852f|70
62391e01f33442e3a317056be250991d|80
0c4624ccbd24e0c5418f31402316c5a1|100
a451b616460b78f17f26722e1f667a9c|70
28d653d3548e4508aaa6acbb5dfbeb64|70
f9249d9c22d44655a0b6cfd0cc17723d|70
ea1b97d35853af550912d4eafcbb09ba|70
cd1e90f32bb5ee88662a79dbf206acc3|70
a344c4046095ddabbe34e9e796110010|75
b1b009d0506f3f3dc6c37a0f5daede2c|100
ad28b8a510ea6a68ce21df6cb5beb3e7|100
f89ae23cf92867f49e1ce42fb068457a|70
37092dd231fc8c86cf87d49b0c61ec09|80
46269a365cd52737b846690c17d3d67c|75
57c5b76120ab062f8d540e0a851fe246|70
5bb9f770c747a7c62b9d790f99451329|80
b987329e5acb4f463208ced13117c544|75
9206f01f220beedeef20f59d4246d4ec|80
8ebab109fea4ae616065110d7ec7ceeb|80
0da5964bfaced77d2a7784d2d5e4be21|90
e4cf0b1970662a643feded2bf8338add|90
a567e947d31360a70a450069a3cdd9c8|70
0cf04a70a551220b2f48b9f77fa6ff60|70
0789fbd0b41a09c73cd5f084100f8753|50
2b3c58d1858295106cd2b4c2dbfd8214|70
e2e66a34dd7099b4ac0a25f48ba1c995|78
e9e98a3d9970e9a20738e195a0c359cb|100
50f53d5ee7bce572ee5f9d8bd1633cd1|70
24ef44b245fa8e0f929db1cb394711f5|86
578670ccaf6843a2d29e8bb97b175e2f|100
c9bebaf15aabb5044981c3a5a09e1b5d|75
31bfd066c3c85c51850596bd00dcbf96|100
4b2def4dae9b7d42affb8032a6314c6b|90
9d9ea5fd7b77def78d1f32c2555d6d8d|78
7658fe177fb2be365d961dab562b69ff|100
e01891d61b8c487f4190bbc752c75faa|100
bba6b08aafc01ba3ac7063c8c289ade1|100
eb7831dcf529e49271e49b4bcf615e17|90
68c785e03ff63b61e7640f7bf05a9d63|80
f367c2c80cbf15afa1b7603eb40d6f48|100
5bda43fec9e4ab2ca004bae0ab0d0d51|70
4e8198abdf311781ef941aea14556217|70
c5a23552b3eb4b962b5a35744d540462|50
97fe0766a2f9f54d6258641bf32b3394|80
71dba4a064914e73e7105635652ed2aa|90
883395e1f2db1109c818608b795efb04|100
cc3eee95d00d1bb686ba867600e23721|70
54dbda6cef39fc5d2df70f4d769961da|70
01cf9b591a0cc5029926b7e995e570fd|83
5fb679062bdd04b6dfd8eddbbc3208b4|83
de26790c3742de9c2784d694ed6fa448|80
14fd27b58021547d049c365dedf0bdd4|70
3e07e11fa1438d9480789d3e71d06fc4|60
0859298a37e46b7c153ed0afe54ce64c|80
6d1a2b616ded806a9f62d8efe627f9be|100
9546c5b1f8afe545db29edbd28c97d58|100
1171f316faee7f6df7f0d7bbb938f525|75
fd11aa3a1e9b77c7c71ba55d5e8fd1e8|100
acd3af9dab3831f8ed13f6f47ebb5712|80
aef681403df2a0aaa53990eb0977139f|90
e044b0849dfa9ce3dee5debbefb3b5da|80
e09cd514e90ab17ac23ec6ff2a00f8dc|80
1f1bfa3d4e37cc1ba884bf6bfa932f37|80
c9d5afedb0108d135f7e611edf059b1d|90
b33d5969c154c24d8c4f52fc01002c6e|90
5e2ab03eb1d0eea4e297bb0b91d30579|80
